listing_type,listing_id,url,title,parsed_at,price_raw,price_tenge,price_usd,price_per_sqm,currency,rooms,area_total,area_living,area_kitchen,floor,floors_total,building_year,building_type,condition,district,microdistrict,street,address_raw,furniture,balcony,bathroom,parking,description_snippet,photos_count,is_agency,price_per_sqm_calc,floor_ratio,is_top_floor,is_first_floor,rooms_category,building_era
sale,1010575267,https://krisha.kz/a/show/1010575267,3-комнатная квартира · 75.6 м² · 5/16 этаж,2026-06-17T09:23:01.550945,71 000 000 ₸,71000000.0,,,KZT,3,75.6,,,5.0,16.0,,,,,,"Есильский р-н, Улы дала 37 — ‼️ГОРЯЧЕЕ ПРЕДЛОЖЕНИЕ‼️","Есильский р-н, Улы дала 37 — ‼️ГОРЯЧЕЕ ПРЕДЛОЖЕНИЕ‼️",,,,,"жил. комплекс Zangar, монолитный дом, 2023 г.п., потолки 3м., Продаётся евро-трёшка 75 м² в новом доме, рядом с Ботаническим садом и Mega Silk Way Просторная квартира с современной евро-планировкой на 5 этаже дома 2024 года постройки. Светлая, уютная, с качественным ремонтом. Вся мебель и техни…",,True,939153.0,0.312,False,False,3-комн,
sale,696770626,https://krisha.kz/a/show/696770626,2-комнатная квартира · 55 м² · 5/12 этаж,2026-06-17T09:23:01.555863,51 000 000 ₸,51000000.0,,,KZT,2,55.0,,,5.0,12.0,,,,,,"Нура р-н, Туран 41/1","Нура р-н, Туран 41/1",,,,,"жил. комплекс Grand Turan Business, 2022 г.п., состояние: свежий ремонт, потолки 3м., санузел совмещенный, интернет оптика, меблирована частично, Роскошный жилой комплекс в самом центре левого берега. бизнес класс. Ландшафтный зеленый двор. Без шумные, скоростные лифты. Дизайнерский ремонт. Колясоч…",,True,927273.0,0.417,False,False,2-комн,
sale,693357216,https://krisha.kz/a/show/693357216,3-комнатная квартира · 68.9 м² · 6/6 этаж,2026-06-17T09:23:01.558837,35 500 000 ₸,35500000.0,,,KZT,3,68.9,,,6.0,6.0,,,,,,"Алматы р-н, Мусрепова 12","Алматы р-н, Мусрепова 12",,,,,"панельный дом, 1994 г.п., состояние: не новый, но аккуратный ремонт, потолки 2.7м., санузел раздельный, интернет ADSL, без мебели, Ипотека рассматривается. После ремонта. Провели всю электромонтажку, натяжные потолки с софитами, освежили стены, новый ламинат в комнатах и кафель в прихожей и на кухн…",,True,515239.0,1.0,True,False,3-комн,
sale,1013001450,https://krisha.kz/a/show/1013001450,2-комнатная квартира · 40.92 м² · 6/9 этаж,2026-06-17T09:23:01.567165,30 500 000 ₸,30500000.0,,,KZT,2,40.92,,,6.0,9.0,,,,,,"Нура р-н, Е 909 29 — Дешевле, чем от застройщика!","Нура р-н, Е 909 29 — Дешевле, чем от застройщика!",,,,,"жил. комплекс UIA.TARIH, кирпичный дом, 2026 г.п., потолки 3м., Продам евродвушку класса комфорт+ от топового застройщика BI Group на левом берегу! Быстро застраивающийся район от самого BI Group обещает быть одним из лучших! Школа уже застроена, планируется строительства самого крупного ТРЦ в Е…",,True,745357.0,0.667,False,False,2-комн,
sale,674439781,https://krisha.kz/a/show/674439781,3-комнатная квартира · 102 м²,2026-06-17T09:23:01.572138,36 000 000 ₸,36000000.0,,,KZT,3,102.0,,,,,,,,,,"Есильский р-н, Чингиза Айтматова 36","Есильский р-н, Чингиза Айтматова 36",,,,,"монолитный дом, 2022 г.п., состояние: свежий ремонт, потолки 2.7м., санузел 2 с/у и более, интернет оптика, меблирована полностью, 3-х комнатная квартира в ЖК Жагалау 🏡 Просторная и уютная квартира в отличном состоянии! Ремонт делали для себя — всё продумано для комфортной жизни. ✅ Вся встроенная…",,True,352941.0,,False,False,3-комн,
sale,1011278616,https://krisha.kz/a/show/1011278616,3-комнатная квартира · 120 м²,2026-06-17T09:23:01.575509,115 000 000 ₸,115000000.0,,,KZT,3,120.0,,,,,,,,,,"Нура р-н, Кабанбай батыра 7 — Центральный парк","Нура р-н, Кабанбай батыра 7 — Центральный парк",,,,,"жил. комплекс Премьера, монолитный дом, 2015 г.п., потолки 3.5м., санузел 2 с/у и более, интернет ADSL, меблирована полностью, 🏙 ЖК «Премьера» 📍 Левый берег, центр Астаны 🔹 3-комнатная квартира 🔹 Площадь: 120 м² 🔹 Дом бизнес-класса 🔹 Год постройки: 2015 🔹 Монолитный дом ✨ Продаётся просторная и уют…",,True,958333.0,,False,False,3-комн,
sale,1010237274,https://krisha.kz/a/show/1010237274,2-комнатная квартира · 106.2 м² · 3/7 этаж,2026-06-17T09:23:01.580655,80 000 000 ₸,80000000.0,,,KZT,2,106.2,,,3.0,7.0,,,,,,"Алматы р-н, Шарля де Голля 3/1 — Помощь в получении ипотеки","Алматы р-н, Шарля де Голля 3/1 — Помощь в получении ипотеки",,,,,"жил. комплекс 5 Звёзд, монолитный дом, 2015 г.п., потолки 3м., санузел 2 с/у и более, Светлая и просторная квартира в престижном жилом комплексе «5 Звёзд», расположенном в тихой части района рядом с Триатлон парком и набережной Есиль. Удобная локация между правым и левым берегом позволяет бы…",,True,753296.0,0.429,False,False,2-комн,
sale,1013195515,https://krisha.kz/a/show/1013195515,2-комнатная квартира · 62.9 м² · 5/18 этаж,2026-06-17T09:23:01.585351,49 500 000 ₸,49500000.0,,,KZT,2,62.9,,,5.0,18.0,,,,,,"Нура р-н, Е-36 5 — Хан Шатыр находится в 5–10 минутах от нас","Нура р-н, Е-36 5 — Хан Шатыр находится в 5–10 минутах от нас",,,,,"жил. комплекс Respublika, монолитный дом, 2023 г.п., потолки 3м., санузел раздельный, телефон: нет, интернет проводной, меблирована полностью, Крыша, риэлторы, брокеры и ипотечные консультанты — просьба не беспокоить. Продаётся просторная 2-комнатная квартира площадью 62,9 м² в ЖК «Республика» (бл…",,False,786963.0,0.278,False,False,2-комн,
sale,1004699513,https://krisha.kz/a/show/1004699513,1-комнатная квартира · 30.23 м²,2026-06-17T09:23:01.592563,от 21 339 920 ₸,21339920.0,,,KZT,1,30.23,,,,,,,,,,"Нура р-н, Е 909 29","Нура р-н, Е 909 29",,,,,"жил. комплекс UIA.TARIH, 12 этажей, 2026 г.п., потолки 3м., санузел совмещенный, UIA. TARIH — это пространство, где комфорт высокого уровня сочетается с ритмом города и гармонией с природой. Здесь живут те, кто чтит историю и эстетику, качество и осознанный обра…",,False,705919.0,,False,False,1-комн,
sale,1011113134,https://krisha.kz/a/show/1011113134,2-комнатная квартира · 64.44 м²,2026-06-17T09:23:01.598010,от 38 800 000 ₸,38800000.0,,,KZT,2,64.44,,,,,,,,,,"Есильский р-н, Манглик Ел 40","Есильский р-н, Манглик Ел 40",,,,,"жил. комплекс Коркем 4, 11 этажей, 2021 г.п., потолки 2.7м., санузел совмещенный, Стоимость по акции до 01.06.26 Представляем вашему вниманию продолжение серии наших ЖК – Kor…",,False,602110.0,,False,False,2-комн,
sale,1012356824,https://krisha.kz/a/show/1012356824,2-комнатная квартира · 53 м² · 4/13 этаж,2026-06-17T09:23:01.603505,36 500 000 ₸,36500000.0,,,KZT,2,53.0,,,4.0,13.0,,,,,,"Нура р-н, Толе би 27","Нура р-н, Толе би 27",,,,,"жил. комплекс Улы Дала Авеню, монолитный дом, 2024 г.п., потолки 3м., 2-комнатная квартира · 53 м² · 4/16 этаж 📌 ул. Толе би, 27 🏢 ЖК «Ұлы Дала Avenue» Продаётся стильная евродвушка 53 м² в современном жилом комплексе ЖК «Ұлы Дала Avenue» — практичный вариант для жизни и привлекательное решение для…",,True,688679.0,0.308,False,False,2-комн,
sale,1012837409,https://krisha.kz/a/show/1012837409,2-комнатная квартира · 62.6 м² · 4/10 этаж,2026-06-17T09:23:01.611022,34 000 000 ₸,34000000.0,,,KZT,2,62.6,,,4.0,10.0,,,,,,"Сарайшык р-н, Байтурсынова","Сарайшык р-н, Байтурсынова",,,,,"жил. комплекс Сказочный мир, кирпичный дом, 2014 г.п., потолки 2.8м., санузел совмещенный, телефон: есть возможность подключения, интернет ADSL, без мебели, Продаётся светлая и уютная 2-комнатная квартира площадью 62, 6 м² в ЖК «Сказочный мир». Квартира-распашонка, окна выходят на две сторон…",,False,543131.0,0.4,False,False,2-комн,
sale,1005803647,https://krisha.kz/a/show/1005803647,4-комнатная квартира · 104 м² · 5/19 этаж,2026-06-17T09:23:01.616527,58 000 000 ₸,58000000.0,,,KZT,4,104.0,,,5.0,19.0,,,,,,"Сарайшык р-н, Аманжолова 26/2","Сарайшык р-н, Аманжолова 26/2",,,,,"жил. комплекс Millenium Park, монолитный дом, 2014 г.п., потолки 2.8м., санузел 2 с/у и более, интернет проводной, меблирована частично, Продам квартиру в ЖК Миллениум парк, теплая, рядом площадь, парк, театр, две школы",,False,557692.0,0.263,False,False,4-комн,
sale,1009087149,https://krisha.kz/a/show/1009087149,3-комнатная квартира · 65 м² · 3/9 этаж,2026-06-17T09:23:01.623003,46 300 000 ₸,46300000.0,,,KZT,3,65.0,,,3.0,9.0,,,,,,Е 15 13/2,Е 15 13/2,,,,,"жил. комплекс BAIMURA 2, монолитный дом, 2025 г.п., состояние: свежий ремонт, потолки 3м., Продаётся 3-комнатная квартира-студия. Современный дизайнерский ремонт выполнен с использованием качественных материалов, продуманная планировка и стильный интерьер создают комфортную атмосферу для жи…",,True,712308.0,0.333,False,False,3-комн,
sale,696580683,https://krisha.kz/a/show/696580683,2-комнатная квартира · 69 м² · 7/10 этаж,2026-06-17T09:23:01.626576,40 000 000 ₸,40000000.0,,,KZT,2,69.0,,,7.0,10.0,,,,,,"Нура р-н, Култегин 11/1","Нура р-н, Култегин 11/1",,,,,"жил. комплекс Ансар, монолитный дом, 2021 г.п., состояние: не новый, но аккуратный ремонт, потолки 2.9м., санузел совмещенный, меблирована полностью, ✨ Продаётся просторная 2-комнатная квартира на Левом берегу столицы в доме класса COMFORT+ ✨ Светлая, уютная и по-настоящему комфортная квартира…",,True,579710.0,0.7,False,False,2-комн,
